,Modelo,Motorizacion,Categoria,MTMA_Kg,Consumo_electrico_kWh/10km,Potencia_electrica_kW,Autonomia_electrica_km,Capacidad_bateria_kWh,Consumo Mínimo,Consumo Máximo,Emisiones Mínimo,Emisiones Máximo
0,ALKE ATX 310 E plomo acido,Eléctricos puros,N1,1510.0,11.0,14.0,75.0,10.0,0.0,0.0,0.0,0.0
1,ALKE ATX 320 E plomo acido,Eléctricos puros,N1,1510.0,11.0,14.0,75.0,10.0,0.0,0.0,0.0,0.0
2,ALKE ATX 330 E plomo acido,Eléctricos puros,N1,1510.0,11.0,14.0,75.0,10.0,0.0,0.0,0.0,0.0
3,ALKE ATX 330 ED plomo acido,Eléctricos puros,N1,2150.0,11.0,14.0,75.0,10.0,0.0,0.0,0.0,0.0
4,ALKE ATX 330 EH plomo acido,Eléctricos puros,N1,2510.0,11.0,14.0,75.0,10.0,0.0,0.0,0.0,0.0
5,ALKE ATX 330 EHD plomo acido,Eléctricos puros,N1,2510.0,11.0,14.0,75.0,10.0,0.0,0.0,0.0,0.0
6,ALKE ATX 340 E Litio 10 kwh,Eléctricos puros,N1,2150.0,9.5,14.0,80.0,10.0,0.0,0.0,0.0,0.0
7,ALKE ATX 340 E Litio 20kwh,Eléctricos puros,N1,2150.0,9.5,14.0,150.0,20.0,0.0,0.0,0.0,0.0
8,ALKE ATX 340 E plomo acido,Eléctricos puros,N1,2150.0,13.0,14.0,90.0,14.4,0.0,0.0,0.0,0.0
9,ALKE ATX 340 ED Litio 10 kwh,Eléctricos puros,N1,2150.0,9.5,14.0,80.0,10.0,0.0,0.0,0.0,0.0
10,ALKE ATX 340 ED Litio 20kwh,Eléctricos puros,N1,2150.0,9.5,14.0,150.0,20.0,0.0,0.0,0.0,0.0
11,ALKE ATX 340 ED plomo acido,Eléctricos puros,N1,2150.0,13.0,14.0,90.0,14.4,0.0,0.0,0.0,0.0
12,ALKE ATX 340 EDH Litio 10 kwh,Eléctricos puros,N1,2510.0,9.5,14.0,80.0,10.0,0.0,0.0,0.0,0.0
13,ALKE ATX 340 EDH Litio 20kwh,Eléctricos puros,N1,2510.0,9.5,14.0,150.0,20.0,0.0,0.0,0.0,0.0
14,ALKE ATX 340 EDH plomo acido,Eléctricos puros,N1,2510.0,13.0,14.0,90.0,14.4,0.0,0.0,0.0,0.0
15,ALKE ATX 340 EH Litio 10 kwh,Eléctricos puros,N1,2510.0,9.5,14.0,80.0,10.0,0.0,0.0,0.0,0.0
16,ALKE ATX 340 EH Litio 20kwh,Eléctricos puros,N1,2510.0,9.5,14.0,150.0,20.0,0.0,0.0,0.0,0.0
17,ALKE ATX 340 EH plomo acido,Eléctricos puros,N1,2510.0,13.0,14.0,90.0,14.4,0.0,0.0,0.0,0.0
18,Alpine ALPINE A290 A290 GT (semi: A29GTJ7),Eléctricos puros,M1,1950.0,15.5,130.0,389.0,52.0,0.0,0.0,0.0,0.0
19,Alpine ALPINE A290 A290 GT Performance (semi: A29GTJ1),Eléctricos puros,M1,1950.0,15.5,160.0,389.0,52.0,0.0,0.0,0.0,0.0
20,Alpine ALPINE A290 A290 GT Premium (semi: A29GTJ7P),Eléctricos puros,M1,1950.0,15.5,130.0,389.0,52.0,0.0,0.0,0.0,0.0
21,Alpine ALPINE A290 A290 GTS (semi: A29GTSJ1),Eléctricos puros,M1,1950.0,15.5,160.0,389.0,52.0,0.0,0.0,0.0,0.0
